68,3
322,73,0
323,72,1
324,71,2
325,74,1
326,75,4
327,70,1
328,69,6
329,68,7
330,67,8
331,79,9
332,80,10
333,81,11
334,78,10
335,77,13
336,76,14
337,57,15
338,58,16
339,59,17
340,60,18
341,61,19
342,82,9
343,87,21
344,86,22
345,83,21
346,84,24
347,85,25
348,66,26
349,65,27
350,64,28
351,63,29
352,62,30
353,91,1
354,90,32
355,89,33
356,88,34
357,100,34
358,101,33
359,102,32
360,92,32
361,93,39
362,94,40
363,104,40
364,103,39
365,95,41
366,105,44
367,96,45
368,106,46
369,98,47
370,107,48
371,99,49
372,97,47
373,48,51
374,47,52
375,46,53
376,45,54
377,44,55
378,43,56
379,42,57
380,41,58
381,40,59
382,49,52
383,50,61
384,51,62
385,52,63
386,53,64
387,54,65
388,55,66
389,56,67
