68,3
390,73,0
391,72,1
392,71,2
393,74,1
394,75,4
395,70,1
396,69,6
397,68,7
398,67,8
399,79,9
400,80,10
401,81,11
402,78,10
403,77,13
404,76,14
405,57,15
406,58,16
407,59,17
408,60,18
409,61,19
410,82,9
411,87,21
412,86,22
413,83,21
414,84,24
415,85,25
416,66,26
417,65,27
418,64,28
419,63,29
420,62,30
421,91,1
422,90,32
423,89,33
424,88,34
425,100,34
426,101,33
427,102,32
428,92,32
429,93,39
430,94,40
431,104,40
432,103,39
433,95,41
434,105,44
435,96,45
436,106,46
437,98,47
438,107,48
439,99,49
440,97,47
441,48,51
442,47,52
443,46,53
444,45,54
445,44,55
446,43,56
447,42,57
448,41,58
449,40,59
450,49,52
451,50,61
452,51,62
453,52,63
454,53,64
455,54,65
456,55,66
457,56,67
