68,3
186,73,0
187,72,1
188,71,2
189,74,1
190,75,4
191,70,1
192,69,6
193,68,7
194,67,8
195,79,9
196,80,10
197,81,11
198,78,10
199,77,13
200,76,14
201,57,15
202,58,16
203,59,17
204,60,18
205,61,19
206,82,9
207,87,21
208,86,22
209,83,21
210,84,24
211,85,25
212,66,26
213,65,27
214,64,28
215,63,29
216,62,30
217,91,1
218,90,32
219,89,33
220,88,34
221,100,34
222,101,33
223,102,32
224,92,32
225,93,39
226,94,40
227,104,40
228,103,39
229,95,41
230,105,44
231,96,45
232,106,46
233,98,47
234,107,48
235,99,49
236,97,47
237,48,51
238,47,52
239,46,53
240,45,54
241,44,55
242,43,56
243,42,57
244,41,58
245,40,59
246,49,52
247,50,61
248,51,62
249,52,63
250,53,64
251,54,65
252,55,66
253,56,67
